# reviewed_sources=762
# selected_unique=192
# extra_floor_or_ground=81
# too_small_or_sparse=76
# not_clear_object_or_structure=61
# Criteria: source.png visual review; clear object-integrated pedestals/foundations are allowed.
scene_id	reasons
scene_001002	extra_floor_or_ground
scene_001005	not_clear_object_or_structure
scene_001019	too_small_or_sparse
scene_001034	extra_floor_or_ground
scene_001036	not_clear_object_or_structure
scene_001041	extra_floor_or_ground
scene_001045	extra_floor_or_ground
scene_001048	too_small_or_sparse
scene_001051	too_small_or_sparse
scene_001056	extra_floor_or_ground
scene_001061	extra_floor_or_ground
scene_001063	extra_floor_or_ground
scene_001064	not_clear_object_or_structure
scene_001071	too_small_or_sparse
scene_001072	extra_floor_or_ground
scene_001082	extra_floor_or_ground
scene_001086	extra_floor_or_ground
scene_001088	extra_floor_or_ground
scene_001095	extra_floor_or_ground
scene_001098	not_clear_object_or_structure
scene_001099	too_small_or_sparse
scene_001102	not_clear_object_or_structure
scene_001103	not_clear_object_or_structure
scene_001115	too_small_or_sparse,not_clear_object_or_structure
scene_001120	not_clear_object_or_structure
scene_001122	extra_floor_or_ground
scene_001123	not_clear_object_or_structure
scene_001142	not_clear_object_or_structure
scene_001143	extra_floor_or_ground
scene_001151	too_small_or_sparse
scene_001152	not_clear_object_or_structure
scene_001153	extra_floor_or_ground
scene_001156	too_small_or_sparse
scene_001157	extra_floor_or_ground
scene_001160	too_small_or_sparse
scene_001161	not_clear_object_or_structure
scene_001165	extra_floor_or_ground
scene_001177	not_clear_object_or_structure
scene_001180	extra_floor_or_ground
scene_001182	extra_floor_or_ground
scene_001183	too_small_or_sparse,not_clear_object_or_structure
scene_001186	too_small_or_sparse,not_clear_object_or_structure
scene_001188	too_small_or_sparse
scene_001191	extra_floor_or_ground,too_small_or_sparse
scene_001192	extra_floor_or_ground
scene_001195	not_clear_object_or_structure
scene_001200	too_small_or_sparse
scene_001204	not_clear_object_or_structure
scene_001260	too_small_or_sparse
scene_001264	extra_floor_or_ground
scene_001265	too_small_or_sparse
scene_001274	not_clear_object_or_structure
scene_001282	not_clear_object_or_structure
scene_001286	too_small_or_sparse
scene_001290	not_clear_object_or_structure
scene_001292	too_small_or_sparse
scene_001297	extra_floor_or_ground,not_clear_object_or_structure
scene_001298	extra_floor_or_ground
scene_001304	too_small_or_sparse
scene_001306	too_small_or_sparse
scene_001315	too_small_or_sparse
scene_001321	extra_floor_or_ground,not_clear_object_or_structure
scene_001325	extra_floor_or_ground
scene_001332	too_small_or_sparse
scene_001333	too_small_or_sparse
scene_001335	extra_floor_or_ground
scene_001336	too_small_or_sparse
scene_001340	extra_floor_or_ground
scene_001341	extra_floor_or_ground,too_small_or_sparse
scene_001344	too_small_or_sparse
scene_001348	not_clear_object_or_structure
scene_001352	extra_floor_or_ground
scene_001359	extra_floor_or_ground
scene_001362	not_clear_object_or_structure
scene_001363	not_clear_object_or_structure
scene_001370	too_small_or_sparse
scene_001374	extra_floor_or_ground
scene_001377	extra_floor_or_ground
scene_001378	not_clear_object_or_structure
scene_001379	extra_floor_or_ground
scene_001382	too_small_or_sparse
scene_001383	too_small_or_sparse,not_clear_object_or_structure
scene_001390	not_clear_object_or_structure
scene_001392	extra_floor_or_ground
scene_001393	extra_floor_or_ground
scene_001399	too_small_or_sparse
scene_001400	extra_floor_or_ground
scene_001403	extra_floor_or_ground
scene_001405	extra_floor_or_ground
scene_001407	too_small_or_sparse
scene_001410	extra_floor_or_ground
scene_001414	too_small_or_sparse
scene_001424	too_small_or_sparse,not_clear_object_or_structure
scene_001427	extra_floor_or_ground,too_small_or_sparse
scene_001433	extra_floor_or_ground
scene_001435	too_small_or_sparse
scene_001436	too_small_or_sparse
scene_001438	extra_floor_or_ground
scene_001440	extra_floor_or_ground
scene_001504	too_small_or_sparse
scene_001506	extra_floor_or_ground
scene_001509	not_clear_object_or_structure
scene_001517	too_small_or_sparse
scene_001520	extra_floor_or_ground
scene_001524	not_clear_object_or_structure
scene_001532	extra_floor_or_ground
scene_001533	too_small_or_sparse
scene_001546	too_small_or_sparse
scene_001549	too_small_or_sparse
scene_001551	too_small_or_sparse
scene_001557	not_clear_object_or_structure
scene_001558	not_clear_object_or_structure
scene_001559	too_small_or_sparse,not_clear_object_or_structure
scene_001565	too_small_or_sparse
scene_001567	extra_floor_or_ground,too_small_or_sparse,not_clear_object_or_structure
scene_001570	not_clear_object_or_structure
scene_001571	extra_floor_or_ground,not_clear_object_or_structure
scene_001579	extra_floor_or_ground
scene_001583	too_small_or_sparse,not_clear_object_or_structure
scene_001585	too_small_or_sparse
scene_001592	extra_floor_or_ground
scene_001595	too_small_or_sparse
scene_001597	not_clear_object_or_structure
scene_001610	too_small_or_sparse
scene_001612	extra_floor_or_ground
scene_001617	too_small_or_sparse
scene_001622	too_small_or_sparse,not_clear_object_or_structure
scene_001625	extra_floor_or_ground
scene_001626	too_small_or_sparse
scene_001627	too_small_or_sparse
scene_001634	too_small_or_sparse
scene_001640	not_clear_object_or_structure
scene_001641	extra_floor_or_ground
scene_001642	extra_floor_or_ground
scene_001651	too_small_or_sparse
scene_001656	too_small_or_sparse
scene_001664	extra_floor_or_ground
scene_001667	extra_floor_or_ground
scene_001669	not_clear_object_or_structure
