license,count
,3827628
Creative Commons - Attribution,2899446
MIT License,1001998
Creative Commons - Attribution - Non-Commercial,594034
Creative Commons - Attribution - Non-Commercial - Share Alike,478069
Creative Commons - Attribution - Share Alike,449448
GNU General Public License v3.0,252521
Apache License 2.0,84812
Creative Commons - Public Domain Dedication,60360
Creative Commons Zero v1.0 Universal,26959
GNU General Public License v2.0,21309
"BSD 3-Clause ""New"" or ""Revised"" License",14675
The Unlicense,14077
GNU Affero General Public License v3.0,8904
GNU Lesser General Public License v3.0,8653
BSD License,6700
"BSD 2-Clause ""Simplified"" License",6021
Mozilla Public License 2.0,4371
GNU Lesser General Public License v2.1,2392
Do What The F*ck You Want To Public License,1369
Public Domain,881
zlib License,712
ISC License,294
BSD Zero Clause License,276
Eclipse Public License 2.0,269
Boost Software License 1.0,115
"BSD 4-Clause ""Original"" or ""Old"" License",84
CERN Open Hardware Licence Version 2 - Strongly Reciprocal,75
Artistic License 2.0,71
European Union Public License 1.2,67
"Mulan Permissive Software License, Version 2",57
CERN Open Hardware Licence Version 2 - Weakly Reciprocal,56
Academic Free License v3.0,55
BSD 3-Clause Clear License,53
Eclipse Public License 1.0,44
CERN Open Hardware Licence Version 2 - Permissive,43
SIL Open Font License 1.1,39
MIT No Attribution,30
Open Software License 3.0,19
Microsoft Public License,12
Open Data Commons Open Database License v1.0,7
University of Illinois/NCSA Open Source License,5
LaTeX Project Public License v1.3c,1
